date,code,strategy,entry_price
2026-08-03,2395,Minervini,563.0
2026-08-03,2762,Minervini,89.6
2026-08-03,2801,Minervini,25.2
2026-08-03,2832,Minervini,59.4
2026-08-03,2850,Minervini,161.0
2026-08-03,2867,Minervini,9.9
2026-08-03,2880,Minervini,43.7
2026-08-03,2881,Minervini,130.0
2026-08-03,2882,Minervini,101.5
2026-08-03,2884,Minervini,38.65
2026-08-03,2890,Minervini,40.6
2026-08-03,2892,Minervini,36.75
2026-08-03,2905,Minervini,17.1
2026-08-03,3034,Minervini,519.0
2026-08-03,6214,Minervini,154.0
2026-08-03,6598,Minervini,30.1
2026-08-03,1101,VCP-廣義VCP,24.3
2026-08-03,1103,VCP-廣義VCP,13.1
2026-08-03,1216,VCP-廣義VCP,73.8
2026-08-03,1217,VCP-廣義VCP,9.95
2026-08-03,1227,VCP-廣義VCP,29.25
2026-08-03,1259,VCP-廣義VCP,58.3
2026-08-03,1307,VCP-廣義VCP,31.75
2026-08-03,1321,VCP-廣義VCP,32.6
2026-08-03,1402,VCP-廣義VCP,27.15
2026-08-03,1410,VCP-廣義VCP,26.4
2026-08-03,1414,VCP-廣義VCP,19.0
2026-08-03,1439,VCP-廣義VCP,27.8
2026-08-03,1442,VCP-廣義VCP,28.6
2026-08-03,1470,VCP-廣義VCP,23.6
2026-08-03,1472,VCP-廣義VCP,89.6
2026-08-03,1531,VCP-廣義VCP,12.9
2026-08-03,1539,VCP-廣義VCP,16.0
2026-08-03,1558,VCP-廣義VCP,91.8
2026-08-03,1604,VCP-廣義VCP,23.35
2026-08-03,1614,VCP-廣義VCP,31.35
2026-08-03,1615,VCP-廣義VCP,42.0
2026-08-03,1726,VCP-廣義VCP,78.1
2026-08-03,1731,VCP-廣義VCP,20.55
2026-08-03,1733,VCP-廣義VCP,31.3
2026-08-03,1734,VCP-廣義VCP,31.7
2026-08-03,1742,VCP-廣義VCP,17.9
2026-08-03,1788,VCP-廣義VCP,130.0
2026-08-03,1799,VCP-廣義VCP,32.7
2026-08-03,1806,VCP-廣義VCP,8.03
2026-08-03,1817,VCP-廣義VCP,38.65
2026-08-03,1903,VCP-廣義VCP,47.1
2026-08-03,1906,VCP-廣義VCP,11.0
2026-08-03,2002,VCP-廣義VCP,18.95
2026-08-03,2012,VCP-廣義VCP,15.85
2026-08-03,2015,VCP-廣義VCP,65.2
2026-08-03,2027,VCP-廣義VCP,43.2
2026-08-03,2029,VCP-廣義VCP,20.7
2026-08-03,2031,VCP-廣義VCP,37.9
2026-08-03,2066,VCP-廣義VCP,58.8
2026-08-03,2106,VCP-廣義VCP,18.15
2026-08-03,2211,VCP-廣義VCP,87.0
2026-08-03,2324,VCP-廣義VCP,36.0
2026-08-03,2330,VCP-廣義VCP,2425.0
2026-08-03,2364,VCP-廣義VCP,70.3
2026-08-03,2373,VCP-廣義VCP,54.0
2026-08-03,2412,VCP-廣義VCP,139.5
2026-08-03,2432,VCP-廣義VCP,28.55
2026-08-03,2442,VCP-廣義VCP,19.4
2026-08-03,2459,VCP-廣義VCP,64.5
2026-08-03,2480,VCP-廣義VCP,166.0
2026-08-03,2506,VCP-廣義VCP,8.75
2026-08-03,2509,VCP-廣義VCP,13.0
2026-08-03,2524,VCP-廣義VCP,35.8
2026-08-03,2535,VCP-廣義VCP,88.2
2026-08-03,2538,VCP-廣義VCP,9.5
